job,company,city,salary,welfare,exp,edu,job_num,job_url,company_url
JAVA开发工程师,广东百德朗科技有限公司,广州-黄埔区,0.7-1万/月,年终奖金 通讯补贴 弹性工作 节日福利 五险 员工旅游 绩效奖金 股票期权 交通补贴 专业培训,1年经验,大专,招1人,https://jobs.51job.com/guangzhou-hpq/129710008.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co4358929.html
L 对日java开发pg,大连必捷必信息技术有限公司,大连,6-8千/月,五险一金 交通补贴 定期体检 弹性工作 年终奖金 餐饮补贴,3-4年经验,大专,招若干人,https://jobs.51job.com/dalian/131873549.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2130968.html
Java开发工程师,广州润微科技有限责任公司,广州,0.8-1万/月,五险一金 绩效奖金 带薪年假 包二餐 餐饮补贴 专业培训 定期体检,2年经验,大专,招1人,https://jobs.51job.com/guangzhou/131873381.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2302804.html
Java开发工程师,上海允弈信息科技有限公司,上海-黄浦区,1-2万/月,五险一金,1年经验,本科,招10人,https://jobs.51job.com/shanghai-hpq/124269838.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3733658.html
中级JAVA开发工程师-西安,上海易教科技股份有限公司,西安-雁塔区,1-1.5万/月,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金,3-4年经验,本科,招若干人,https://jobs.51job.com/xian-ytq/128594745.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2346401.html
Java高级开发工程师,广州八百方信息技术有限公司,广州,2-3万/月,周末双休 带薪年假 年度体检 员工旅游 绩效奖金 五险一金,5-7年经验,本科,招1人,https://jobs.51job.com/guangzhou/115763645.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3142244.html
Java软件工程师,学府信息技术咨询（广州）有限公司,广州,1-1.5万/月,五险一金 员工旅游 补充医疗保险 专业培训 年终奖金 带薪年假,3-4年经验,大专,招5人,https://jobs.51job.com/guangzhou/66609378.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2238477.html
Java开发工程师,深圳市擎旗信息技术有限公司,异地招聘,6-8千/月,五险一金 绩效奖金 周末双休 节日福利 生日福利 包住宿 弹性工作,2年经验,本科,招2人,https://jobs.51job.com/shanghai-xhq/131872375.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3009063.html
Java高级开发工程师,广州千宸信息科技有限公司,广州-白云区,1.5-2万/月,五险一金 员工旅游 专业培训 定期体检 绩效奖金 年终奖金 周末双休,5-7年经验,本科,招3人,https://jobs.51job.com/guangzhou-byq/131281958.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5455513.html
Java高级工程师,深圳市网新新思软件有限公司,深圳-福田区,1.5-2.5万/月,五险一金 免费班车 员工旅游 专业培训 绩效奖金 年终奖金 定期体检,5-7年经验,大专,招2人,https://jobs.51job.com/shenzhen-ftq/131872288.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3749227.html
Java开发工程师,千巡科技（深圳）有限公司,深圳-宝安区,1.2-1.8万/月,五险一金 带薪年假 节日福利 专业培训,3-4年经验,本科,招1人,https://jobs.51job.com/shenzhen-baq/130241773.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5279464.html
Java开发工程师,深圳市哈贝尔智能科技有限公司,深圳-南山区,0.8-1.5万/月,做五休二 五险一金 年终奖金 绩效奖金 员工旅游 交通补贴,2年经验,本科,招2人,https://jobs.51job.com/shenzhen-nsq/131846906.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3861850.html
Java开发工程师,南京博联信息技术有限公司,南京-栖霞区,0.7-1.1万/月,五险一金 交通补贴 餐饮补贴 年终奖金 弹性工作 专业培训,2年经验,本科,招2人,https://jobs.51job.com/nanjing-qxq/130995094.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/coA2NSMgVuU2kAYgFiVTg.html
Java开发工程师,佛山市众途人力资源有限公司,异地招聘,2.5-3万/月,六险一金 加班费 周末双休 弹性工作 绩效奖金,3-4年经验,大专,招若干人,https://jobs.51job.com/foshan-sdq/131844034.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co6417053.html
Java工程师,南京奥看信息科技有限公司,南京-雨花台区,1.2-2万/月,五险一金 节日福利 项目奖金,2年经验,本科,招5人,https://jobs.51job.com/nanjing-yhtq/131865816.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/coCWlSMwdgUm4DYQFlXDo.html
Java开发工程师,上海海万信息科技股份有限公司,西安-碑林区,1-1.5万/月,,5-7年经验,大专,招5人,https://jobs.51job.com/xian-blq/131872112.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2200692.html
Java开发工程师,广州黄家圣幸生物科技有限公司,广州,0.8-1万/月,五险一金 绩效奖金 专业培训 节日福利 年终奖金 员工旅游 定期体检,2年经验,大专,招2人,https://jobs.51job.com/guangzhou/109045952.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5040663.html
JAVA开发工程师G00248,上海数慧系统技术有限公司,异地招聘,0.7-1万/月,五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训 年终奖金 定期体检,1年经验,本科,招3人,https://jobs.51job.com/shanghai/131871879.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co255100.html
JAVA初中高级开发（统招本科学信网可查）,深圳华云信息系统有限公司,深圳-福田区,1.2-1.8万/月,,3-4年经验,本科,招50人,https://jobs.51job.com/shenzhen-ftq/131859991.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2274018.html
41069-金融云JAVA高级研发工程师（重庆子公司）,深圳市腾讯计算机系统有限公司,重庆,,,3-4年经验,本科,招1人,https://jobs.51job.com/chongqing/131865191.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co123056.html
Java开发工程师（国内）,松下信息系統（上海）有限公司,无锡,0.8-1.2万/月,全额加班费 五险一金 补充医疗保险 员工旅游 出国机会 专业培训 交通补贴 定期体检 年终奖金 绩效奖金,3-4年经验,本科,招1人,https://jobs.51job.com/wuxi/131862335.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3871738.html
Java开发工程师,绿城服务集团有限公司,杭州-西湖区,1-2万/月,周末双休 带薪年假 五险一金 节日福利 专业培训 交通补贴 高温补贴 通讯补贴 餐饮补贴 加班补贴,5-7年经验,本科,招1人,https://jobs.51job.com/hangzhou-xhq/131858711.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5575004.html
菜鸟网络-高级JAVA开发工程师/专家-快递&消费者&溪鸟,阿里巴巴集团,杭州,,,3-4年经验,本科,招若干人,https://jobs.51job.com/hangzhou/131853781.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co1991749.html
Java服务器开发工程师,武汉掌游科技有限公司,武汉-洪山区,0.8-1.5万/月,五险一金 带薪年假 全勤奖 节日福利 餐饮补贴 加班补贴 员工旅游 定期体检 团队友爱 迅速成长,1年经验,本科,招2人,https://jobs.51job.com/wuhan-hsq/128664534.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3299671.html
Java高级开发工程师-飞书费控/飞书合同/飞书审批,字节跳动,广州,2-3万/月,六险一金 晋升空间大 带薪休假 免费三餐 弹性工作 租房补贴,5-7年经验,本科,招20人,https://jobs.51job.com/guangzhou/131837254.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2758227.html
Java高级开发工程师,上海韵达货运有限公司,上海-青浦区,1.8-3.5万/月,五险一金 工龄奖 业绩奖金 学历补贴 包吃包住,5-7年经验,本科,招2人,https://jobs.51job.com/shanghai-qpq/131864258.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2661989.html
JAVA开发工程师（清结算系统）,杉德支付网络服务发展有限公司,上海-徐汇区,2-2.5万/月,周末双休 高温补贴 餐饮补贴 五险一金 绩效奖金 年终奖金 通讯补贴 定期体检 领导好 团队聚餐,5-7年经验,本科,招2人,https://jobs.51job.com/shanghai-xhq/131502836.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2598882.html
JAVA/Python开发工程师,江苏富士通通信技术有限公司,苏州-高新区,0.6-1万/月,五险一金 补充医疗保险 员工旅游 餐饮补贴 绩效奖金 定期体检 交通补贴 提供住宿 年终奖金,2年经验,本科,招1人,https://jobs.51job.com/suzhou-gxq/102356370.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2040161.html
Java中级开发工程师,TCL科技集团股份有限公司,异地招聘,1.3-1.8万/月,年底双薪 绩效奖金 五险一金 通讯补贴 交通补贴,3-4年经验,本科,招1人,https://jobs.51job.com/huizhou/131843121.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co151030.html
Java开发工程师,武汉佰钧成技术有限责任公司,南京,1.5-2万/月,补充医疗保险 定期体检 带薪年假 六险一金 12薪 周末双休 965,5-7年经验,本科,招若干人,https://jobs.51job.com/nanjing/131876817.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2471571.html
JAVA开发工程师(007446),中信银行信用卡中心,深圳-福田区,2-2.5万/月,五险一金 餐饮补贴 年终奖金 定期体检 补充医疗保险,3-4年经验,本科,招1人,https://jobs.51job.com/shenzhen-ftq/131875939.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co566698.html
Java高级开发工程师,国药控股国大药房有限公司,上海-黄浦区,1-1.5万/月,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检,3-4年经验,本科,招1人,https://jobs.51job.com/shanghai-hpq/110020689.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2026339.html
Java开发工程师（星瀚供应链云）,金蝶软件（中国）有限公司,深圳-南山区,1.5-3万/月,五险一金 弹性工作 定期体检 员工旅游 专业培训 补充医疗保险 年终奖金,5-7年经验,本科,招5人,https://jobs.51job.com/shenzhen-nsq/131857453.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co100679.html
高级JAVA开发工程师 - 业务线,爱回收,上海-杨浦区,2.5-3.5万/月,五险一金 专业培训 年终奖金 扁平管理 休闲餐点 发展空间,5-7年经验,本科,招若干人,https://jobs.51job.com/shanghai-ypq/131244796.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2515005.html
JAVA开发岗-ERP方向（上海）(J10633),银联商务股份有限公司,上海,2.5-3万/月,五险一金 补充医疗保险 补充公积金 绩效奖金 定期体检,3-4年经验,本科,招1人,https://jobs.51job.com/shanghai/131854201.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2150127.html
Java开发工程师,深圳市紫金支点技术股份有限公司,石家庄-裕华区,0.7-1万/月,五险一金 餐饮补贴 通讯补贴 定期体检 专业培训 补充医疗保险 年终奖金 绩效奖金 股票期权,1年经验,本科,招2人,https://jobs.51job.com/shijiazhuang-yhq/131851621.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2579955.html
Java高级开发工程师-L,天地华宇集团,上海-青浦区,1.5-2万/月,带薪年假 绩效奖金 节日福利 提供食宿 免费班车 做五休二 包吃 包三餐 包住宿,3-4年经验,大专,招1人,https://jobs.51job.com/shanghai-qpq/102745398.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co4837168.html
JAVA开发工程师,银联商务股份有限公司江西分公司,南昌,0.6-1万/月,五险一金 补充医疗保险 餐饮补贴 绩效奖金 年终奖金 企业年金,3-4年经验,本科,招2人,https://jobs.51job.com/nanchang/117755304.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2172585.html
Java工程师,吉林爱信诺航天信息有限公司,长春-经济技术开发区,0.6-1.2万/月,五险一金 全勤奖 交通补贴 带薪年假 免费午餐 补充医疗保险 节日福利 周末双休 生日劵 国企单位,2年经验,大专,招4人,https://jobs.51job.com/changchun-jjjs/129019336.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3818527.html
Java高级开发工程师,浙江航天信息有限公司,杭州,1-2万/月,带薪年假 五险一金 绩效奖金 节日福利 加班补贴 通讯补贴 高温补贴 专业培训,3-4年经验,本科,招2人,https://jobs.51job.com/hangzhou/125666592.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2513433.html
java开发,青岛市乐天网络技术有限责任公司,青岛-市南区,4.5-6千/月,,2年经验,大专,招2人,https://jobs.51job.com/qingdao-snq/131877213.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3335818.html
Java高级开发工程师,上海网达软件股份有限公司,上海-虹口区,1-2.5万/月,,5-7年经验,本科,招2人,https://jobs.51job.com/shanghai-hkq/130382254.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2318076.html
Java开发岗,湖南财信数字科技有限公司,长沙-天心区,,,8-9年经验,本科,招25人,https://jobs.51job.com/changsha-txq/130923228.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/coBWVVNQdsBDoGY1A6Ujc.html
